personnel_id,unit_type,role_operational_intensity,duty_hours_weekly,overtime_hours_weekly,deployment_duration_months,deployments_last_3_years,days_since_last_leave,leave_days_taken_annual,recovery_rest_days_monthly,avg_sleep_hours,sleep_disruption_index,physical_readiness_score,wellness_survey_score,peer_support_score,environmental_hardship_score,risk_score,risk_category
PX-13082,Signals,Low,49.2,3.4,3.1,2,123,47.5,1.5,6.6,3.2,86.4,22.9,3.7,2.0,0.02,LOW
PX-13519,Air Defense,Low,45.8,0.0,2.4,2,90,48.7,4.8,8.0,0.0,83.3,23.4,3.2,1.7,0.02,LOW
PX-12149,Infantry,High,52.7,2.9,7.5,2,190,24.2,1.2,6.2,6.5,70.7,21.2,4.3,4.1,0.234,LOW
PX-12881,Infantry,Low,43.7,0.0,2.8,1,120,45.3,7.4,6.1,2.6,81.5,20.5,3.4,1.8,0.02,LOW
PX-11454,Artillery,High,46.8,0.0,6.0,3,167,29.2,2.4,4.9,6.2,69.7,20.1,4.3,4.0,0.254,LOW
PX-11977,Medical Corps,Low,36.3,0.0,4.7,0,155,25.1,5.3,6.7,1.5,63.6,23.5,3.3,1.5,0.02,LOW
PX-14351,Infantry,High,50.0,0.0,10.9,2,277,20.2,1.1,6.1,5.7,70.1,19.6,4.1,3.0,0.326,LOW
PX-12857,Armored,Medium,52.2,3.1,5.2,1,153,43.2,2.3,7.2,4.4,80.9,22.2,2.9,2.1,0.1,LOW
PX-14173,Artillery,Medium,43.7,0.0,5.1,2,143,46.0,5.5,6.5,2.9,92.2,22.3,4.6,2.2,0.02,LOW
PX-12934,Signals,Medium,50.6,0.0,4.3,3,154,42.1,1.9,5.7,4.4,87.9,20.9,4.1,2.8,0.078,LOW
PX-12646,Signals,Low,36.0,0.0,7.4,0,181,41.8,4.6,7.5,2.2,85.8,22.5,3.4,1.3,0.02,LOW
PX-12577,Logistics & ASC,Low,44.8,0.0,3.4,0,116,46.7,2.9,8.0,0.0,97.8,27.6,4.6,1.8,0.02,LOW
PX-11438,Logistics & ASC,High,60.4,4.6,10.3,2,260,29.4,1.8,5.1,7.0,70.5,10.9,5.0,3.3,0.429,MODERATE
PX-13389,Artillery,High,57.0,5.8,6.0,1,197,36.0,0.3,5.7,6.7,63.0,21.6,4.4,3.1,0.316,LOW
PX-13475,Armored,Medium,46.8,0.0,5.1,3,225,27.7,1.6,7.0,2.9,76.9,20.7,4.9,2.9,0.02,LOW
PX-11222,Logistics & ASC,Medium,58.2,9.5,11.0,0,251,37.5,3.3,6.0,4.5,85.2,18.3,3.8,2.0,0.294,LOW
PX-13304,Signals,Medium,55.8,5.4,4.4,1,134,43.9,2.1,6.5,2.4,87.2,17.8,4.0,1.9,0.02,LOW
PX-10245,Logistics & ASC,Medium,45.3,1.2,11.4,1,262,35.5,2.6,6.7,2.7,88.8,22.6,3.6,2.3,0.039,LOW
PX-11460,Air Defense,Medium,41.8,0.0,6.1,4,216,39.8,0.7,6.7,2.6,86.5,24.7,3.8,2.7,0.02,LOW
PX-12978,Signals,High,57.1,5.8,9.9,2,253,27.3,1.7,5.5,5.0,73.4,14.7,3.6,3.9,0.446,MODERATE
PX-13251,Combat Engineers,Medium,45.3,0.8,6.8,3,167,38.7,3.1,7.7,1.2,86.1,20.4,2.6,2.3,0.02,LOW
PX-11488,Logistics & ASC,Low,42.4,0.0,2.8,1,140,49.6,3.8,7.3,0.9,88.4,26.0,4.0,1.1,0.02,LOW
